title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Overwatch	Overwatch	Overwatch	In Overwatch, you control one of several heroes in competitive 6-person team shooting matches. Battle over objectives, take down the other team, and achieve victory.\n\nIn Overwatch, heroes do battle in diverse locations around the world. From the technological marvel of Numbani to the manufacturing powerhouse of Volskaya, each map has a unique layout and specific win conditions that your team must meet in order to secure victory.	Battle.net		89	Blizzard Entertainment	"Shooter	Strategy"	"Blizzard Entertainment	Square Enix"	2016-05-24	2016-05-24	"Action	Comedy	Science fiction"		2022-10-11 17:22:44	Ended		False	Windows	https://images.gog.com/bf378c6afa1f25cc6b80185f941e3a68aa67d9a378ea65d2dac7e2f466d58ab5_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/50d98e20337921d5e43bbe98790cc49dae9fbf5a8364b3c444249bbe10796d59_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4542ccd010bd6550c2397237708fe7acbfcab90e16d7b7291355c8abd1af712c_glx_vertical_cover.webp?namespace=gamesdb
Oxenfree	Oxenfree	Oxenfree	Oxenfree is a supernatural adventure game. Rites of passage and Senior year traditions set the stage for a group of friends sneaking off to Edwards Island, an old military outpost with no phone service. Players will take on the role of Alex as she brings her new stepbrother Jonas to an overnight party gone horribly wrong. Inspired by classic cult films like Stand by Me and Poltergeist, Oxenfree is an adventure that pulls from the past but looks to the present. “It’s a coming of age story where players control how their hero comes of age,” says Sean Krankel, co-founder of Night School. “We’re drawing on the fond and mortifying aspects of being in your late teens, and setting it against a dangerous and ghostly backdrop.”	GOG		79	Night School Studio	"Adventure	Indie	Role-playing (RPG)"	Night School Studio	2016-01-15	2016-01-15	"Drama	Fantasy	Science fiction	Thriller"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/937cd0bfcfacd430e62662a76b0a80b5798852cd1fc529d71326d25038f8de23_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4acdf23184ed6199f11b749c1fe0292c2a699b1f583461943708effc400bae78_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9ebafa9617d269c58ba04cb465433b1c5f30810a90a216853782ccb32f48bfa9_glx_vertical_cover.webp?namespace=gamesdb
PAC-MAN Championship Edition DX+	PAC-MAN Championship Edition DX+	PACMAN Championship Edition DX	The sequel to the original PAC-MAN and award-winning power pellet chomping game, PAC-MAN Championship Edition DX returns with even more content! Chomp through bright neon mazes at blistering speeds to unlock brand new achievements and medals for an increased challenge! With a refined user-interface, it's easier than ever to compare high scores with your friends! Get ready for more ghost chain gobbling and frantic action in PAC-MAN CE-DX+	Steam			Mine Loader Software Co., Ltd.	"Arcade	Puzzle"	Bandai Namco Entertainment	2013-09-27	2013-09-27	Action	115	2023-10-12 22:29:55	Star		False	Windows	https://images.gog.com/39ccb597a55f1c2d3e616b10ba61fee6549ae2918af3d49186544523e7967be8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/2e365259fa68e8e561d47ee31998157ee4c1ae88a32b74a4a2e71d878289dbef_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/2e365259fa68e8e561d47ee31998157ee4c1ae88a32b74a4a2e71d878289dbef_glx_vertical_cover.webp?namespace=gamesdb
Paradigm	Paradigm	Paradigm	A Cloning Puzzle Game	Epic Games Store		87	Jacob Janerka	"Adventure	Indie	Point-and-click"	Jacob Janerka	2017-04-05	2017-04-05	"Comedy	Science fiction"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/a708821b18b97576ccc845e88fc8cac63c75adc4ac5b19bf84056443a4901e01_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8d298dbb9737e34d84c6de1ffc3c0364c1b1429f5f31682915e62ae24188de2b_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9bbf006e827b6895ebc7ff3fddaabd1b7a084391a3266bbeb72a8f590e630a66_glx_vertical_cover.webp?namespace=gamesdb
Path of Exile	Path of Exile	Path of Exile	You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.	Steam	1	78	Grinding Gear Games	"Adventure	Hack and slash/Beat 'em up	Role-playing (RPG)"	Grinding Gear Games	2013-10-23	2013-10-23	"Action	Fantasy	Horror"	5343	2022-05-18 20:18:42	Ended		False	"macOS	Windows"	https://images.gog.com/4638e2515f659ac10c54404d0725f6c0ba1a8e5f45faf621b27e8724acd144be_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/1fcc3a30595de46879d47c4ba98d6046762436b6355f44d8287105ac3b39de5e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c81589867f48d0b6be3220972c8c54d541154a2ac228f1e59150dfe5ea1e464e_glx_vertical_cover.webp?namespace=gamesdb
Path of Exile 2	Path of Exile 2	Path of Exile 2	The story component of Path of Exile's free 4.0 update, currently planned for release in December of 2020. The update will add a second campaign option to the game with 7 planned acts at launch.\nThere are also a number of major changes to the core game, which will affect both campaigns, like the currently announced redesign of the skill system, the addition of 19 more ascendancy classes and how ascendancy classes are unlocked.\nThis update will be released alongside a seasonal league which is what the update is usually named after.\n\nA lot of changes and additions were announced for the skill gem system, items will now have a set number of sockets for active gems and those gems are where support gems are equiped.\nThere will be a separate menu screen for skill gems to make it easier to view and manage gems.\nThere will be a default of 9 active gem sockets available from standard items, 2 from each item in hand (4 for a 2-handed item), 2 from body armors, 1 from helms, gloves and boots. Specific rings, amulets and unique items will still add additional sockets or gems to the new skill gem menu.\nActive gems can have up to 5 support gem sockets based on the gems item level with available sockets linked by default.\nA new gem class, currently called meta gems, will allow both active and support gems to be socketed on them, curse on hit and cast on crit support gems would be changed to these meta gems.\nJeweler and Chromatic orbs will now be used on active/meta gems to customize the available support sockets and fusing orbs will be removed from the game	Steam			Grinding Gear Games	"Adventure	Hack and slash/Beat 'em up	Role-playing (RPG)"	"Grinding Gear Games	Kakao Games"	2024-12-06	2024-12-06	"Action	Fantasy"	4135	2025-04-10 19:57:47			False	"macOS	Windows"	https://images.gog.com/f1bcd6347583ff8ea48b8ee08afd0b7b6b0d5fe74451f7b9e80c6ee584f897bb_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/03d3465977190ab25157eb63899dbb8ce9c05e1662ae72d851d4229b3ad385b5_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/39d77e82f95347ad6f32e161296a63e7b4290d16049f2a770ceadade20a0e20b_glx_vertical_cover.webp?namespace=gamesdb
Pathfinder Kingmaker - Enhanced Plus Edition	Pathfinder Kingmaker - Enhanced Plus Edition	Pathfinder Kingmaker Enhanced Plus Edition	Pathfinder: Kingmaker is the first isometric party-based computer RPG set in the Pathfinder fantasy universe. Enjoy a classic RPG experience inspired by games like Baldur's Gate, Fallout 1 and 2 and Arcanum. Explore and conquer the Stolen Lands and make them your kingdom!	Epic Games Store		66	Owlcat Games	"Adventure	Role-playing (RPG)	Tactical"	Deep Silver	2018-09-25	2018-09-25	Fantasy			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/db37552085d4454071b832a35cfda54c813c2729bcc32caf9a88fb41335bcd72_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/b0319decec5282a3b5f9af5afce24983c6381c1bfd16282a37ce9e9ea43b16e6_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/599d9eca62d0ae035707a447c76b7706a607ebbe5433df9e30b0f47acba93474_glx_vertical_cover.webp?namespace=gamesdb
PAYDAY 2	PAYDAY 2	PAYDAY 2	Payday 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original crew: Dallas, Hoxton, Wolf and Chains as they descend on Washington D.C. for an epic crime spree.	"Epic Games Store	Steam"		75	Overkill Software	"Role-playing (RPG)	Shooter	Tactical"	"505 Games	Starbreeze Studios"	2013-08-13	2013-08-13	"Action	Stealth"			LowPriority		False	"Linux	Windows"	https://images.gog.com/6f5a0545e79b73500d78e6906138e6edccdbc8e7381e7397eb99db40e2fa6cf0_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ab2c4a84731f8d7bb545d7fff9e21dc5b642d28c26caba6a266259292bc63b8f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/ace728ed1cf0b0ea118ee353df52fe8e207e37b550c61e793944e0ac54404b22_glx_vertical_cover.webp?namespace=gamesdb
PC Building Simulator	PC Building Simulator	PC Building Simulator	PC Building Simulator lets players get to grips and experiment with building their very own gaming PC, without the associated risks and costs. With tutorials to help master the basics and an array of accurate and lifelike components that function exactly as they would in real life.	Epic Games Store		65	The Irregular Corporation	"Indie	Simulator	Strategy"		2019-01-29	2019-01-29	Educational			LowPriority		False	Windows	https://images.gog.com/867948eaa2b58a88f516061f8f54a941f9b3b2aa33bcb4b3c395c1c29d6dc9f3_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/2e409be5ec749dc36b0ef9cd77832e75d3c43c237e5f8175194f80a88a12e027_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/792c1d0f32c6384afffa77f0f3ecc49fa5d0b471509f6f22004b6ff54e2e0814_glx_vertical_cover.webp?namespace=gamesdb
Peaky Blinders: Mastermind	Peaky Blinders: Mastermind	Peaky Blinders Mastermind	Peaky Blinders: Mastermind is a puzzle-adventure game, based on the multi-award-winning TV show. Become the Mastermind as you control key characters and pull off perfectly synchronized plans.	Amazon		68	FuturLab	"Adventure	Indie	Puzzle	Strategy"	Curve Digital	2020-08-20	2020-08-20	"Mystery	Stealth"			LowPriority		False		https://images.gog.com/8796cfdca5d5529513a273f70ee84dd876f81afacf8c7aff5c718a17f48be1d8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/03b361f60506d2d0cb97581166f20ee2bb89aa6b699601e59d5e0bd0b19f2219_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/18ec15ea0ae934d9aa150ec02d3f39fc9b805019c4e2d5feaaceb037d3e16a66_glx_vertical_cover.webp?namespace=gamesdb
Pillars of Eternity - Definitive Edition	Pillars of Eternity - Definitive Edition	Pillars of Eternity Definitive Edition	Prepare to be enchanted by a world where the choices you make and the paths you choose shape your destiny. Recapture the deep sense of exploration, the joy of a pulsating adventure, and the thrill of leading your own band of companions across a new fantasy realm and into the depths of monster-infested dungeons in search of lost treasures and ancient mysteries.\n\nSo gather your party, venture forth, and embrace adventure as you delve into a realm of wonder, nostalgia, and the excitement of classic RPGs with Obsidian’s Pillars of Eternity!	Epic Games Store		81	Obsidian Entertainment	"Adventure	Indie	Role-playing (RPG)	Strategy"	"Obsidian Entertainment	Paradox Interactive"	2015-03-26	2015-03-26	Fantasy			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/1ec34402edd8d9908aed2aa63e92537b0605622924956f59ca815f205ba0c54f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/95eb40bacfdbbdf4f936095307ab161f0d3174273c0a24d4912601fe97378bd7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7720e3c07a92b4bd80a14f7d0e2ac819aeac9371e0c5ad78019c42e9e6f6ad71_glx_vertical_cover.webp?namespace=gamesdb
Pine	Pine	Pine	Pine is an open-world action adventure simulation game. Players are dropped in an ever-evolving world in which AI organisms have lives, goals and quests of their own. Species trade and fight with each other, while the player learns about ways to influence the simulation and shape their story through the different biomes of Albamare. Take the role of Hue, a scared but brave adolescent belonging to one of the last remaining human tribes on the island of Albamare, fighting for the survival of their species. Find your way to a new home to thrive and survive as a species.	Epic Games Store			Twirlbound	"Adventure	Indie	Role-playing (RPG)	Simulator"	Kongregate	2019-10-10	2019-10-10	"Action	Open world"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/4ba62097d214a40c94beb2041cb149e3995d7a59ec12b27f2c8af47b7967f086_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5dd5c98b72fcbf083e1abdc5ea2ccd5f33cdc4d1859c42590ad9df48af4f381c_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/8a93f5ed870b1a3c3fc48793e3267fedeb71abc0a747be2bbb3056a4fbeea35a_glx_vertical_cover.webp?namespace=gamesdb
Pixel Piracy	Pixel Piracy	Pixel Piracy	Pixel Piracy is a side-scrolling 2d, real time strategy/sandbox/simulation game created by indie developer Vitali Kirpu and produced by Alexander Poysky.\nIn the game, the player leads the life of a pirate captain. Recruit a crew, outfit and customize your ship and set sail on the open seas. There you’ll use any combination of aggression, diversion and trade to become the most infamous pirate crew of the seven seas! You can raid, pillage and plunder everything in your path, divert and lie to get what you want or trade for a quick buck. Remember to be careful though, death is everywhere and quite permanent! Adventure awaits…	Steam		50	Quadro Delta	"Adventure	Indie	Platform	Role-playing (RPG)	Simulator	Strategy"	"505 Games	Re-Logic"	2013-11-12	2013-11-12	"Action	Open world	Sandbox"	233	2015-12-24 01:47:52	Ended		False	"Linux	macOS	Windows"	https://images.gog.com/6c9bbc7ede4191cf879989141793bbc0d8ceded452190cf611e8efc33167435d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f63d6ee16c02596e7bdb5b5bb5a71cda822f6ba5d1f20cc6b835579c08677670_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b3a06d151edddcc6d23139449ea6095b112deb1b63bb94112ea8b10779e09aad_glx_vertical_cover.webp?namespace=gamesdb
PixelJunk Eden	PixelJunk Eden	PixelJunk Eden	Utterly unique and spellbindingly beautiful, PixelJunk Eden welcomes you to a psychedelic world unlike anything you’ve ever experienced before.\n\nAs a tiny, silk-spinning “grimp,” it is up to you to collect the lost “Spectra” that have been scattered across all the gardens of Eden. Swing and jump between plants and rock formations, collect pollen to seed new plants and explore the incredible gardens to locate the precious “Spectra.”\n\nLush visuals, slick controls and amazing music make it an incredibly atmospheric and addictive experience.\n\nDownload the full game today and prepare to enter Eden!\n\nKey Features:\n• Stunning Visuals - Stylish graphics brought to life in gorgeous 1080p HD.\n• Multiplayer Co-op - Local co-op play for up to three players.\n• Trophy and Online Support - Unlock Trophies and track high scores via online leaderboards.\n• Video Recording - Record gameplay videos to the hard drive or upload directly to YouTube.\n• Remote Play - Supports Remote Play for PSP system*.	Steam		87	Q-Games Ltd.	"Adventure	Indie	Platform	Puzzle"	Sony Computer Entertainment	2012-02-02	2012-02-02	"Action	Fantasy	Kids"	4	2015-04-11 14:25:27	LowPriority		False	Windows	https://images.gog.com/c1d84e8b4dc82947f8ffdfafc1fd06eabe5b8da6b4701dcce52bfe3277c895af_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3cfae37d744e7f52f7612992aefa3e4db9aa43c43231798e5b02a5b1835e638f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/3cfae37d744e7f52f7612992aefa3e4db9aa43c43231798e5b02a5b1835e638f_glx_vertical_cover.webp?namespace=gamesdb
